title,price,monthday,year,room,m2,location
ÇARŞI MERKEZDE 2+1 HERŞEY DAHİL KIZ APARTI,9.000 TL,07 Aralık,2025,2+1,55,"Kutlubey
Pirimehmet Mah."
ÇARŞI MERKEZDE EŞYALI FERAH 2+1 DAİRE,14.000 TL,08 Aralık,2025,2+1,60,"Kutlubey
Pirimehmet Mah."
ISPARTA IŞIKKENT'TE 3+1 BAHÇELİ KİRALIK DAİRE,14.000 TL,06 Aralık,2025,3+1,150,"Kutlubey
Işıkkent Mh."
YENİ ISUBÜ VE MEYDAN AVM YANINDA KİRALIK 2+0 APART 10.000₺,10.000 TL,06 Aralık,2025,2+0,45,"Tokmacık
Yayla Mah."
KIRALIK apart,12.000 TL,08 Aralık,2025,2+0,50,"Anadolu
Yedişehitler Mh."
kiralık 1+0 apart(komisyonsuz),8.000 TL,08 Aralık,2025,Stüdyo (1+0),45,"Anadolu
Yedişehitler Mh."
çünürde müstakil daire,13.000 TL,06 Aralık,2025,3+1,138,"Anadolu
Çünür Mh."
ISPARTA MERKEZ AYAZMANA MAHALLESİ KİRALIK 3+1 DAİRE,28.000 TL,06 Aralık,2025,3+1,160,"Çelebiler
Ayazmana Mah."
İYAŞ AVM ALTINDA KİRALIK EŞYALI BÜYÜK APART...,7.000 TL,06 Aralık,2025,2+1,65,"Anadolu
Modern Evler Mah."
İSTİKLÂL MAHALLESİ KİRALIK 1+0 APART DAİRELER,8.000 TL,06 Aralık,2025,Stüdyo (1+0),35,"Kepeci
İstiklal Mh."
Anadolu Mhl sinde 2+1 ful eşyalı kiralıl apart daire,15.000 TL,06 Aralık,2025,2+1,80,"Anadolu
Modern Evler Mah."
TEKİN EMLAKTAN KİRALIK,15.000 TL,06 Aralık,2025,2+1,110,"Kutlubey
Işıkkent Mh."
Kiralık stüdyo daire,7.500 TL,06 Aralık,2025,1+1,35,"Anadolu
Fatih Mah."
ISIKKENTTE AİLE APARTMANINDA 3+1 KİRALIK DAİRE,12.000 TL,06 Aralık,2025,3+1,137,"Kutlubey
Işıkkent Mh."
ZAFER MAHALLESİ KİRALIK,8.000 TL,06 Aralık,2025,3+1,120,"Anadolu
Zafer Mah."
ŞEHRİN MERKEZİ İSTİKLAL'DE 3+1 KİRALIK YENİ DAİRE,25.000 TL,06 Aralık,2025,3+1,150,"Kepeci
İstiklal Mh."
Iyaşpark AVM Karşısı Kiralık 3+1 Geniş Daire,27.000 TL,06 Aralık,2025,3+1,170,"Anadolu
Fatih Mah."
AYAZMANA MAHALLESİ KİRALIK,18.000 TL,06 Aralık,2025,3+1,160,"Çelebiler
Ayazmana Mah."
ÇARŞI MERKEZE 5 DK YÜRÜME MESAFESİNDE SÜPER 1+0 APART DAİRE,15.000 TL,08 Aralık,2025,Stüdyo (1+0),50,"Anadolu
Bahçelievler Mh."
PARLAİS EMLAKTAN ÇÜNÜRDE KİRALIK 3+1 150 m2 GENİŞ DAİRE,24.000 TL,06 Aralık,2025,3+1,150,"Anadolu
Çünür Mh."
ISPARTA GÜLİSTAN'DA 3+1 KİRALIK DAİRE,20.000 TL,06 Aralık,2025,3+1,135,"Kutlubey
Gülistan Mh."
ISPARTA KARGOCULAR SOKAĞINDA 3+1 KİRALIK DAİRE,21.000 TL,06 Aralık,2025,3+1,200,"Çelebiler
Çelebiler Mh."
"Çayboyu'nda, üniversiteye 100 metre mesafede kiralık apart",13.500 TL,06 Aralık,2025,1+1,55,"Çelebiler
Turan Mah."
Sahibinden Hızrbey de Geniş 3+1 Bahçe Kat,13.750 TL,06 Aralık,2025,3+1,130,"Kutlubey
Hızırbey Mh."
ISPARTA MERKEZ GÜLİSTAN MAHALLESİNDE BAKIMLI KİRALIK DAİRE,15.000 TL,06 Aralık,2025,2+1,100,"Kutlubey
Gülistan Mh."
MUZAFFER TÜRKEŞ TE GÜNEY BATİ 2+1 DAİRE,15.000 TL,06 Aralık,2025,2+1,100,"Anadolu
Muzaffer Türkeş Mh."
GENİŞ ÇOK MERKEZİ DOĞALGAZLI 2+1 BALKONLU KİRALIK DAİRE,11.000 TL,06 Aralık,2025,2+1,90,"Kutlubey
Hızırbey Mh."
Güneş Gayrimenkul'den Amerikan Mutfaklı + Yatak Odası,13.000 TL,07 Aralık,2025,1+1,65,"Kutlubey
Bağlar Mh."
"ELİT'TEN, DAVRAZ'DA İÇİ YAPILI MÜSTAKİL EV (Davraz Evi)",14.250 TL,06 Aralık,2025,2+1,100,"Kepeci
Davraz Mah."
"ELİT'TEN, DAVRAZ'DA İÇİ YAPILI MÜSTAKİL EV (Davraz Evi)",14.250 TL,06 Aralık,2025,2+1,100,"Kepeci
Davraz Mah."
YÜCCER GAYRİMENKUL'DEN OFİS&KONUT KULLANIMINA UYGUN 1+1 DAİRE,20.000 TL,06 Aralık,2025,1+1,60,"Anadolu
Bahçelievler Mh."
KİRALIK 3+1 BAKIMLI DAİRE,15.000 TL,06 Aralık,2025,3+1,135,"Çelebiler
Halıkent Mh."
Kiralik Geniş 1+1 Apart,11.000 TL,06 Aralık,2025,1+1,70,"Anadolu
Zafer Mah."
KİRALIK 1+1,7.000 TL,06 Aralık,2025,1+1,35,"Anadolu
Sanayi Mah."
HERŞEY DAHİL 2+1,12.500 TL,06 Aralık,2025,2+1,55,"Anadolu
Bahçelievler Mh."
MODERN EVLER MAH.FULL EŞYALI 2+1 KİRALIK APART,11.000 TL,06 Aralık,2025,2+1,55,"Anadolu
Modern Evler Mah."
KAYA EMLAKTAN SIFIR 4+1 KİRALIK DAİRE,35.000 TL,06 Aralık,2025,4+1,175,"Anadolu
Muzaffer Türkeş Mh."
1+1 SIFIR LÜKS APARTLAR,18.000 TL,06 Aralık,2025,2+1,55,"Anadolu
Yedişehitler Mh."
KİRALIK 3+1 ARAKAT DAİRE 2.KAT GÜNEY CEPHE DEPOSU MEVCUT,19.500 TL,06 Aralık,2025,3+1,145,"Çelebiler
Ayazmana Mah."
SAHİBİNDEN KİRALIK 3+1 LÜX DAİRE,24.000 TL,05 Aralık,2025,3+1,155,"Kepeci
Davraz Mah."
DİNÇER GYD-HIZIRBEY MAH 2+1 MERKEZİ KONUM DAİRE 17.000₺,17.000 TL,05 Aralık,2025,2+1,85,"Kutlubey
Hızırbey Mh."
7 ŞEHİTLER MAHALLESİ KİRALIK,14.000 TL,05 Aralık,2025,2+1,120,"Anadolu
Yedişehitler Mh."
BLACK // FATİH MAH. KİRALIK 1+0 APARTLAR,7.000 TL,05 Aralık,2025,Stüdyo (1+0),25,"Anadolu
Fatih Mah."
Sahibinden 3+1 temiz daire,16.000 TL,05 Aralık,2025,3+1,130,"Kepeci
Karaağaç Mh."
